#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
9704	53.1424625	-27.77751527	29.276	0.278	7.63	0.07	0.207	-82	6.304	5.82	6.76	0.939	0.926	0	300	28.887	29.006	29.276	FALSE
9808	53.17833332	-27.77871671	28.718	0.123	8.19	0.02	0.14	-7.7	6.297	5.9	6.67	0.976	0.923	0	300	28.574	28.801	28.718	FALSE
7740	53.16000591	-27.76349436	29.364	0.218	8.99	0.73	0.045	-69.3	6.29	5.73	6.69	0.936	0.332	0	300	28.9	29.142	29.364	TRUE
2784	53.17747839	-27.80244935	27.899	0.268	10.77	0	0.156	60.1	6.29	5.64	6.61	0.906	0.707	0	300	27.382	-99	27.899	FALSE
9279	53.17927514	-27.77323708	27.608	0.051	16.33	0	0.029	-18.1	6.282	5.96	6.6	0.994	0.203	0	300	27.419	27.593	27.608	FALSE
9611	53.15548898	-27.77833605	29.345	0.221	9.16	0.1	0.161	-9.3	6.28	5.55	6.74	0.886	1.181	0	300	29.052	28.833	29.345	FALSE
8392	53.15631649	-27.76696409	29.144	0.221	8.74	0	0.155	-53	6.28	1.03	6.72	0.776	0.577	0	300	28.872	29.064	29.144	FALSE
9542	53.16579217	-27.77604137	28.11	0.079	15.12	0	0.223	-25.9	6.279	5.91	6.63	0.984	0.146	0	300	28.072	28.219	28.11	FALSE
9871	53.18625888	-27.77929201	27.579	0.051	15.18	0	0.012	-6.8	6.276	5.94	6.6	0.992	1.013	0	300	27.579	27.677	27.579	FALSE
2009	53.14167281	-27.80694598	27.641	0.386	11.52	0	0.358	-27	6.26	5.47	6.6	0.739	0.397	0	300	27.273	-99	27.641	FALSE
939	53.16039836	-27.81605956	27.909	0.306	12.84	0	0.318	67.6	6.255	5.84	6.64	0.971	0.224	0	300	27.718	-99	27.909	FALSE
4056	53.19936927	-27.79621246	26.799	0.116	17.18	0	0.324	0.1	6.239	5.88	6.59	0.988	0.09	0	300	26.952	-99	26.799	FALSE
8053	53.15404946	-27.76600117	27.051	0.032	22.57	0	0.093	1.8	6.234	5.9	6.56	0.992	0.09	0	300	27.092	27.085	27.051	FALSE
6574	53.16675245	-27.78584877	28.218	0.155	12.26	0	0.143	33.8	6.2	5.67	6.56	0.946	0.776	0	300	28.021	28.032	28.218	FALSE
7319	53.16439475	-27.76206144	27.907	0.072	15.63	0	0.147	-33.1	6.183	5.85	6.5	0.993	0.55	0	300	27.68	27.785	27.907	FALSE
6963	53.13482287	-27.78411867	28.143	0.127	16.75	0	0.229	-66.8	6.176	5.81	6.51	0.986	1.217	0	300	27.817	27.709	28.143	FALSE
9098	53.15944897	-27.77179183	28.693	0.126	13.31	0	0.203	79.8	6.17	5.68	6.52	0.959	0.51	0	300	28.411	28.601	28.693	FALSE
3758	53.15261276	-27.79724334	27.122	0.042	31.06	0	0.552	36.1	6.165	5.84	6.48	0.994	0.335	0	300	27.036	27.179	27.122	FALSE
9072	53.15950759	-27.77144865	26.001	0.013	23.64	0	0.126	-28	6.157	5.84	6.46	0.995	0.133	0	300	26.141	26.057	26.001	FALSE
3177	53.15640213	-27.80043495	29.174	0.191	9.83	0.08	0.244	15.6	6.156	5.73	6.58	0.959	0.182	0	300	29.01	29.149	29.174	FALSE
9021	53.16100832	-27.77123319	28.587	0.107	13.36	0.01	0.424	-22.4	6.146	5.7	6.59	0.946	0.032	0	300	28.738	28.612	28.587	FALSE
3098	53.16897832	-27.80072041	28.09	0.09	13.53	0	0.083	-58.3	6.138	5.77	6.5	0.981	0.375	0	300	28.113	28.046	28.09	FALSE
7887	53.1716607	-27.77963224	28.812	0.147	8.75	0.43	0.107	66.2	6.13	5.53	6.63	0.907	0.507	0	300	29.126	28.858	28.812	FALSE
10378	53.17799628	-27.78549243	27.659	0.134	16.61	0	0.501	89.1	6.13	5.54	6.5	0.913	0.459	0	300	27.505	27.655	27.659	FALSE
7878	53.14205821	-27.77977968	25.894	0.014	19.44	0	0.125	-23.2	6.118	5.8	6.42	0.994	0.056	0	300	26.013	25.922	25.894	FALSE
8692	53.18099603	-27.77565075	27.901	0.067	18.26	0	0.151	33.6	6.115	5.68	6.55	0.954	0.36	0	300	28.276	28.056	27.901	FALSE
2279	53.16303394	-27.8051315	28.057	0.077	14	0	0.135	-74.7	6.111	5.74	6.48	0.978	0.511	0	300	28.23	28.284	28.057	FALSE
7660	53.14950599	-27.78078171	28.152	0.184	10.34	0.19	0.126	13.1	6.11	5.61	6.5	0.942	0.716	0	300	27.755	27.751	28.152	FALSE
3818	53.17232995	-27.79727178	29.234	0.258	9.79	0.11	0.213	82.4	6.11	1.26	6.59	0.816	0.141	0	300	29.118	29.134	29.234	FALSE
10631	53.1255882	-27.79123985	26.731	0.264	12.78	0	0.502	-65.3	6.108	5.66	6.53	0.951	0.104	0	300	26.778	-99	26.731	FALSE
8018	53.15398752	-27.76489275	28.844	0.215	7.27	0	0.158	-4	6.1	0.6	6.57	0.55	1.315	0	300	28.752	28.906	28.844	FALSE
5914	53.16015634	-27.79318966	29.424	0.25	8.94	0.64	0.417	-12.8	6.09	1.12	6.68	0.838	0.179	0	300	29.482	29.47	29.424	FALSE
7629	53.14899574	-27.78063672	29.346	0.228	7.7	0.5	0.325	64.5	6.08	0.74	6.65	0.482	1.194	0	300	29.725	29.444	29.346	FALSE
7662	53.1585516	-27.76355813	28.928	0.146	10.55	0.14	0.133	28.8	6.07	5.71	6.42	0.984	0.45	0	300	28.735	28.735	28.928	FALSE
9973	53.16459725	-27.7803994	29.386	0.231	9.25	0.33	0.413	15.8	6.041	5.61	6.46	0.957	0.218	0	300	29.295	29.349	29.386	FALSE
10586	53.1390074	-27.78953776	29.582	0.268	9.7	0.71	0.311	-24.1	6.04	5.3	6.56	0.883	1.103	0	300	29.489	29.477	29.582	TRUE
4488	53.18625033	-27.78654701	27.572	0.239	11.84	0	0.343	-43.4	6.028	5.67	6.37	0.984	0.457	0	300	27.634	-99	27.572	FALSE
9681	53.18741752	-27.77796957	29.419	0.289	3.24	0.55	0.153	-55	6.021	5.63	6.4	0.973	0.549	0	300	29.21	28.96	29.419	FALSE
8573	53.16770018	-27.76811169	27.845	0.063	19.8	0	0.233	74.9	6.021	5.66	6.38	0.982	0.03	0	300	28.022	27.911	27.845	FALSE
2834	53.16773925	-27.80225274	29.069	0.217	9.87	0.08	0.132	30	6.015	5.7	6.33	0.993	1.325	0	300	28.53	28.667	29.069	FALSE
2902	53.14617344	-27.80189567	26.741	0.21	11.14	0	0.219	-47.3	6.005	5.62	6.4	0.97	1.625	0	300	27.307	-99	26.741	FALSE
9721	53.15195902	-27.77817918	25.646	0.012	36.21	0	0.484	-11.4	5.98	5.68	6.28	0.995	0.067	0	300	25.717	25.632	25.646	FALSE
9567	53.17141132	-27.77623951	29.372	0.252	5.51	0.5	0.223	13.2	5.94	0.72	6.45	0.547	1.139	0	300	30.06	29.879	29.372	FALSE
8950	53.16609779	-27.7719671	27.79	0.054	21.15	0	0.378	-26.6	5.926	5.61	6.23	0.993	1.912	0	300	27.792	27.727	27.79	FALSE
7988	53.16384488	-27.76478608	28.148	0.277	4.5	0.66	0.102	-86.7	5.89	0.84	6.54	0.724	0.377	0	300	27.844	28.092	28.148	FALSE
5774	53.158988	-27.79260339	27.376	0.108	14.69	0	0.121	-87.9	5.889	5.44	6.33	0.94	0.152	0	300	27.405	27.396	27.376	FALSE
6241	53.12271709	-27.79458851	27.534	0.198	18.14	0	0.636	-44.4	5.866	5.53	6.22	0.982	0.879	0	300	27.725	-99	27.534	FALSE
9625	53.14182483	-27.77702365	28.657	0.155	11.37	0	0.205	26.6	5.84	0.9	6.48	0.76	0.414	0	300	28.796	28.842	28.657	FALSE
9101	53.16060848	-27.77153731	27.773	0.063	18.88	0	0.157	-36.2	5.84	5.51	6.15	0.99	0.199	0	300	27.681	27.719	27.773	FALSE
478	53.17160505	-27.82078802	26.398	0.12	19.31	0	0.107	5.2	5.83	5.53	6.34	0.939	0.625	0	300	26.52	-99	26.398	FALSE
2852	53.1407507	-27.80210713	26.74	0.135	8.66	0	0.146	9.3	5.828	5.52	6.13	0.994	0.13	0	300	27.023	-99	26.74	FALSE
3725	53.15950485	-27.79758504	26.904	0.045	16.49	0	0.113	-40.5	5.822	5.49	6.13	0.99	0.429	0	300	26.871	26.909	26.904	FALSE
9180	53.16021328	-27.77218452	29.445	0.271	3.66	0.09	0.119	-13.6	5.82	0.59	6.39	0.529	0.315	0	300	29.699	29.37	29.445	FALSE
1171	53.14926779	-27.81357598	28.408	0.505	13.88	0	0.231	81.2	5.812	5.44	6.22	0.966	0.962	0	300	28.131	-99	28.408	FALSE
10123	53.18431612	-27.78176781	28.901	0.245	8.93	0.02	0.232	12.7	5.808	5.29	6.3	0.896	0.34	0	300	28.54	28.973	28.901	FALSE
5881	53.1436449	-27.7930736	28.968	0.125	13.33	0	0.294	75	5.798	5.4	6.17	0.964	0.088	0	300	28.923	29.042	28.968	FALSE
7080	53.16277387	-27.76076497	27.183	0.042	9.98	0	0.084	-30.5	5.794	5.49	6.08	0.995	0.561	0	300	27.052	27.039	27.183	FALSE
6420	53.14681602	-27.79525074	29.191	0.182	10.68	0.32	0.119	-60.5	5.793	5.42	6.15	0.975	0.621	0	300	28.809	28.87	29.191	FALSE
10598	53.14022583	-27.78998419	28.857	0.242	8.21	0.21	0.349	-31.1	5.79	0.78	6.4	0.708	1.119	0	300	28.791	28.901	28.857	FALSE
978	53.15318486	-27.81582152	29.025	0.743	8.51	0.01	0.129	-23.3	5.78	5.34	6.2	0.943	0.832	0	300	29.432	-99	29.025	FALSE
9818	53.13836228	-27.77868827	27.293	0.229	15.08	0	0.447	-48.8	5.772	5.45	6.08	0.99	0.764	0	300	27.211	-99	27.293	FALSE
7374	53.1715877	-27.78199373	29.09	0.186	14.44	0	0.131	66.5	5.771	5.41	6.12	0.978	0.544	0	300	28.557	28.809	29.09	FALSE
2494	53.16638375	-27.80407395	27.95	0.222	9.34	0	0.154	-40.1	5.77	0.94	6.32	0.841	0.524	0	300	28.112	28.186	27.95	FALSE
10524	53.16491113	-27.78843312	29.513	0.493	8.66	0	0.129	-15.1	5.76	1.1	6.42	0.752	1.7	0	300	28.671	29.143	29.513	FALSE
10604	53.14662862	-27.79019568	29.181	0.219	10.06	0	0.315	-58.2	5.75	5.22	6.19	0.911	0.536	0	300	29.034	28.785	29.181	FALSE
3866	53.15088935	-27.79707389	28.542	0.204	6.26	0.01	0.201	-58.1	5.741	5.32	6.13	0.954	0.087	0	300	28.404	28.473	28.542	FALSE
9550	53.1685191	-27.77559257	29.127	0.359	8.06	0.01	0.249	77.7	5.74	5.22	6.15	0.922	0.656	0	300	28.986	29.179	29.127	FALSE
4498	53.16899169	-27.78657868	28.651	0.146	15.18	0	0.443	-18.5	5.739	5.3	6.18	0.938	0.143	0	300	28.6	28.516	28.651	FALSE
8694	53.17044959	-27.77458204	29.424	0.38	5.34	0.7	0.291	75.2	5.73	0.59	6.31	0.66	0.099	0	300	29.433	29.738	29.424	TRUE
1811	53.17984818	-27.80821404	28.225	0.389	11.37	0	0.3	25.4	5.73	5.37	6.39	0.852	1.214	0	300	27.805	-99	28.225	FALSE
9488	53.16759722	-27.77572142	29.245	0.197	8.3	0	0.097	41.8	5.727	5.25	6.19	0.917	0.315	0	300	29.092	29.349	29.245	FALSE
2799	53.13043196	-27.80230032	26.865	0.238	16.06	0	0.216	-55	5.727	5.41	6.04	0.99	0.947	0	300	26.669	-99	26.865	FALSE
6508	53.1616149	-27.7863366	27.493	0.053	21.94	0	0.357	73.3	5.723	5.37	6.08	0.978	0.363	0	300	27.545	27.512	27.493	FALSE
2353	53.16672111	-27.80416302	24.76	0.011	6.66	0.03	0.419	-49.6	5.719	5.43	6	0.996	0.317	0	300	24.852	24.799	24.76	FALSE
3350	53.15340574	-27.79949801	28.26	0.092	15.21	0	0.323	-17.3	5.719	5.36	6.05	0.981	0.517	0	300	28.074	28.256	28.26	FALSE
3454	53.14394257	-27.79888397	26.726	0.098	8.57	0	0.113	-25.2	5.71	5.41	6	0.995	1.982	0	300	26.789	-99	26.726	FALSE
23082	53.16245807	-27.79265849	28.297	0.096	7.88	0	0.099	-46.4	5.697	5.34	6.07	0.973	0.429	0	300	28.254	28.345	28.297	FALSE
8612	53.15559065	-27.77460978	29.542	0.253	9.38	0.01	0.358	-54.4	5.69	0.81	6.42	0.732	0.573	0	300	29.319	29.145	29.542	FALSE
2967	53.18815243	-27.80142086	27.192	0.219	11.76	0	0.415	-29.6	5.69	5.26	6.06	0.958	0.576	0	300	27.777	-99	27.192	FALSE
2032	53.14225186	-27.80676448	29.2	0.636	9.56	0.69	0.231	-10.6	5.686	5.3	6.22	0.934	1.395	0	300	28.266	-99	29.2	TRUE
3033	53.15943674	-27.80099295	29.168	0.221	9.95	0	0.474	58.8	5.684	5.22	6.11	0.93	0.593	0	300	28.882	29.022	29.168	FALSE
1280	53.17048275	-27.81242682	27.393	0.176	9.21	0	0.318	-62.3	5.668	5.35	5.98	0.99	0.761	0	300	27.581	-99	27.393	FALSE
